VAIXELLNOM,MMSI,IMO,P_Main,P_aux,P_GT,Fuel
WIND SPIRIT,309056000,8603509,3150,504,1665.65005,MDO/MGO
WIND STAR,309163000,8420878,3150,504,3770.172701,MDO/MGO
WIND SURF,309242000,8700785,11520,1843.2,8329.446123,MDO/MGO
WONDER OF THE SEAS,311001033,9838345,100140,16022.4,236857,MDO/MGO
WORLD NAVIGATOR,255806207,9871531,9000,1440,9923,MDO/MGO
WORLD ODYSSEY,311000410,9141807,1555.470788,248.8753261,1555.470788,MDO/MGO
WORLD TRAVELLER,255806210,9904807,3319.745407,531.1592651,3319.745407,MDO/MGO
WORLD VOYAGER,255806150,9871529,9000,1440,9934,MDO/MGO
ZENITH,357062000,8918136,19960,3193.6,47413,BOTH
ZUIDERDAM,245304000,9221279,51840,8294.4,81769,MDO/MGO
